claim_id,country,claim,evidence_level,best_primary_source,best_secondary_source,supporting_sources,contrary_sources,date_range,people,organizations,article_value,risk,notes
P3-022,Brazil,"Operation Brother Sam prepared naval, fuel, ammunition, and airlift support",DOCUMENTED FACT,1964-04-01 White House meeting record,National Security Archive,March 27-30 cables,Much support not needed or delivered,1964,Lyndon Johnson; Lincoln Gordon,White House; Defense; CIA,HIGH,LOW,State conditionality
P3-023,Brazil,"OPS modernized communications, records, laboratories, mobility, and riot-control capacity",DOCUMENTED FACT,AID/OPS series records,"Motta pp. 7, 14, 19-20",Project totals and adviser reports,Counts differ across sources,1960-1972,Joseph Lingo; Dan Mitrione; Theodore Brown,AID/USAID; OPS; Brazilian police,HIGH,LOW,Core capacity claim
P3-024,Brazil,OPS advisers selected trainees and created intelligence recruitment opportunities,CORROBORATED ACCOUNT,RG 286-derived evidence cited by Motta pp. 10-13,Motta,Article 2 referral pattern,Named Brazilian recruit not established,1960s,Dan Mitrione; Theodore Brown,OPS; CIA; IAPA,HIGH,MEDIUM,Opportunity not completed recruitment
P3-025,Brazil,CIA covert action and OPS police modernization were one operation,INSUFFICIENT,No joint command record,Critical accounts,Same chronology and compatible purpose,Distinct chains and no organization-level link,1957-1964,Richard Helms; Lincoln Gordon,CIA; AID/OPS,MEDIUM,HIGH,Use parallel and mutually reinforcing
P3-026,Brazil,CIA covert action and OPS modernization were mutually reinforcing,STRONG INFERENCE,PFIAB; Gordon cable; OPS records,Motta; Schrader,Shared anti-Communist alignment and timing,Could reflect only broad policy convergence,1957-1972,Richard Helms; Lincoln Gordon,CIA; AID/OPS,HIGH,MEDIUM,Strongest defensible synthesis
P3-027,Brazil,U.S. police aid increased the capacity of institutions later used for political repression,STRONG INFERENCE,OPS equipment/training records; 1970-73 State reports,Motta; truth commission,Same institutional system,Specific victim/equipment chain missing,1960-1973,,OPS; DOPS/DEOPS; OBAN/DOI-CODI,HIGH,MEDIUM,"Capacity contribution, not operational direction"
P3-028,Brazil,U.S. officials knew Brazilian security forces used torture and extrajudicial killing,DOCUMENTED FACT,1970 DEOPS; 1971 death-squad; 1972-73 State reports,Brazilian Truth Commission,Multiple contemporary cables,Some reports source-attributed,1970-1973,Sérgio Fleury,State; Brazilian security forces,HIGH,LOW,Contemporary knowledge established
P3-029,Brazil,Dan Mitrione taught torture in Brazil,CONTRADICTED / DISPUTED,Later allegations; source not local,Motta pp. 9-10,Repeated later accounts,Motta contests basis and timing,1960s,Dan Mitrione,OPS,MEDIUM,VERY HIGH,Do not publish as fact without primary escalation
P3-030,Brazil,U.S.-supplied radios were used as electric-shock devices,PLAUSIBLE CONNECTION,Motta discussion,Motta,Known Brazilian torture methods,No serial/device-to-case proof; intended use ordinary communications,1960s-1970s,,OPS; Brazilian police,MEDIUM,HIGH,"Frame as reported repurposing, not design"
P3-031,Brazil,"Around 641 officers trained abroad and more than 52,000 in country",DOCUMENTED FACT,Series OPS program records,,Project summaries,"Motta gives about 800/100,000",1960-1972,,OPS,MEDIUM,MEDIUM,Reconcile definitions before publication
P3-032,Brazil,"Around 800 officers trained abroad and 100,000 in country",CORROBORATED ACCOUNT,Motta p. 19 citing program sources,Motta,Secondary archival research,Conflicts with series primary totals,1960-1972,,OPS,MEDIUM,MEDIUM,Treat as upper estimate
P3-033,Brazil,Brazil functioned as a regional security and intelligence connector,YES — STRONGLY SUPPORTED,Coup/security/Condor records,Motta; truth commission,Regional military cooperation,Not equivalent to narcotics protection,1964-1990,,Brazilian military/intelligence,HIGH,LOW,Useful Brazil role
P3-034,Brazil/South America,U.S.-supported Brazilian security structures protected a cocaine pipeline to the United States,INSUFFICIENT,No completed primary chain,Scott,Regional corruption and trafficking leads,"Missing protected network, route, finance, U.S. entry",1960s-1980s,,CIA; Brazilian security services,HIGH,VERY HIGH,Explicitly identify chain break
P3-035,Brazil,Police death squads overlapped with narcotics/racket control,CORROBORATED ACCOUNT,1971 State death-squad report,Brazilian investigations cited therein,Police involvement and official inaction,Report presents multiple theories; adjudication incomplete,1950s-1971,Sérgio Fleury,Brazilian police,HIGH,MEDIUM,Does not establish CIA link
P3-036,South America,Huanchaca laboratory financed Contra activity,SPECULATION,No local primary source,Scott p. 41,Foreign press and participant allegations,Kerry committee reportedly did not pursue; primary file absent,1980s,,Contra-linked networks,LOW,VERY HIGH,Rabbit trail only
P3-037,South America,Operation Condor deliberately protected cocaine corridors,INSUFFICIENT,Condor repression records,Scott,Some criminal/security overlaps,No intentional narcotics-purpose record,1970s-1980s,,Operation Condor,MEDIUM,HIGH,Do not conflate repression and trafficking
P3-038,Central America/United States,Blandón and Meneses were significant cocaine traffickers,DOCUMENTED FACT,DOJ OIG; court/testimony records,Webb,CIA OIG,None material on core trafficking,1980s,Oscar Danilo Blandón; Norwin Meneses,Meneses organization,HIGH,LOW,Narrow Webb core survives
P3-039,Central America/United States,Blandón/Meneses contributed some drug-derived money to Contra causes,DOCUMENTED FACT,DOJ OIG,Webb,Participant testimony and financial evidence,DOJ says scale modest,1980s,Blandón; Meneses,Contra-related causes,HIGH,MEDIUM,Do not say materially financed entire war
P3-040,United States,Blandón supplied Ricky Ross's distribution network,DOCUMENTED FACT,Court records; DOJ OIG,Webb,Sworn testimony,Does not prove national epidemic causation,1980s,Oscar Danilo Blandón; Ricky Ross,Drug distribution network,HIGH,LOW,Shipment/distribution link documented
P3-041,United States,Blandón/Meneses caused the crack epidemic,CONTRADICTED,No sufficient national causal data,Webb public framing,They were significant suppliers,DOJ OIG and market chronology,1980s,Blandón; Meneses; Ross,,MEDIUM,VERY HIGH,Do not publish
P3-042,Central America/United States,CIA generally protected Blandón and Meneses from prosecution,CONTRADICTED / DISPUTED,Webb case reconstruction,Webb,Selected anomalies,DOJ OIG finds no general protection,1980s-1990s,Blandón; Meneses,CIA; DOJ; DEA; FBI,HIGH,HIGH,Case-specific treatment only
P3-043,United States,CIA intervened in the Zavala case regarding return of seized money,DOCUMENTED FACT,DOJ OIG,Webb,CIA/DOJ records summarized by OIG,One episode does not prove universal policy,1980s,Julio Zavala,CIA; DOJ,HIGH,LOW,Clearest affirmative anomaly
P3-044,United States,1982 DOJ-CIA procedures did not require all non-employee narcotics allegations to be reported,DOCUMENTED FACT,Signed 1982 MOU in CIA OIG Volume II Exhibit 1,,1985 DOJ interpretation; 1995 revision,Discretionary reporting and expected cooperation still occurred,1982-1995,William French Smith; William Casey,CIA; DOJ,HIGH,LOW,Formal reporting gap; no evidence it was designed to protect Contras
P3-045,Central America/United States,Intelligence relationships interfered with narcotics enforcement in some Contra cases,STRONG INFERENCE,CIA/DOJ OIG; Zavala; reporting framework,Webb; Kerry report,Repeated allegations and anomalies,OIG attributes many cases to ordinary failures,1980s,,CIA; DOJ; DEA; FBI,HIGH,MEDIUM,"Episodic, not universal"
P3-046,Central America/United States,Contra-related drug proceeds materially replaced congressional funding,INSUFFICIENT,No complete financial chain,Webb; Scott,Some documented contributions,Official findings describe limited scale,1980s,William Casey; Contra leaders,CIA; Contras,HIGH,VERY HIGH,Motive from Boland is not proof
P3-047,Cross-country,U.S. strategic priorities repeatedly overrode narcotics enforcement,STRONG INFERENCE,CIA histories; CIA/DOJ OIG; case records,McCoy; Webb; Scott,Laos admissions; reporting gaps; anomalies,Brazil narcotics case weak; some enforcement did occur,1960s-1980s,,CIA; DOJ; allied services,FOUNDATIONAL,MEDIUM,Best system-level claim
P3-048,Cross-country,U.S.-supported systems made allied narcotics networks more resilient,STRONG INFERENCE,"Logistics, political support, continued relationships",McCoy; Webb; Scott,Territorial and institutional mechanisms,Preexisting networks and local agency,1960s-1980s,,CIA; AID/OPS; proxy forces,HIGH,MEDIUM,"Say enabled, not ran"
P3-049,Cross-country,Narcotics became functionally useful to some covert partners,STRONG INFERENCE,Local Laos economy; limited Contra contributions,McCoy; Webb,Partner survival and funds,Explicit policy and scale absent,1960s-1980s,,Proxy forces; Contra causes,HIGH,MEDIUM,Utility can be incidental yet protected
P3-050,Cross-country,CIA directly participated in narcotics trafficking as institutional policy,INSUFFICIENT,No directive/account/continuous operational chain,McCoy; Webb; Scott,Some carriage allegations and interventions,CIA/DOJ IG findings; missing proof,1960s-1980s,,CIA,HIGH,VERY HIGH,Do not make this claim
P3-051,Cross-country,CIA intentionally built a drug pipeline into the United States,INSUFFICIENT,No continuous intention evidence,McCoy; Webb; Scott,"Knowledge, tolerance, indirect facilitation",Strong contrary findings; Brazil chain breaks,1960s-1980s,,CIA,FOUNDATIONAL,VERY HIGH,Stronger hypothesis not established
P3-052,Cross-country,The strongest explanation is knowing tolerance with episodic protection and indirect facilitation,STRONG INFERENCE,Combined primary and official record,McCoy; Webb; Scott; Motta; Schrader,Cross-case pattern,Not every case or country fits equally,1955-1990,,CIA; AID/OPS; allied services,FOUNDATIONAL,MEDIUM,Recommended central thesis
P3-053,Source integrity,The current local file is correctly titled The CIA and the Cult of Intelligence by Marchetti and Marks,DOCUMENTED FACT,Title page and contents of local PDF,,Direct inspection,Stale pre-correction inventory references,1974 publication,Victor Marchetti; John D. Marks,,HIGH,LOW,Current file is corrected; never cite it as Agee
P3-054,Source integrity,The local Huggins file is the correct book but ends around printed page 44,DOCUMENTED FACT,"Direct inspection, table of contents, terminal page and PDF count",,Correct title and author; 64 image pages,Book table of contents continues beyond printed page 237,1998 publication,Martha K. Huggins,,HIGH,LOW,Use only covered opening chapters; acquire remainder
P3-055,Brazil/Vietnam,Theodore Brown provides a Panama-Brazil-Vietnam personnel continuity chain,PLAUSIBLE CONNECTION,Motta and series leads,Motta,IAPA and Brazil roles; later Vietnam assignment,Primary personnel file and SOA link absent,1960s-1970s,Theodore Brown,IAPA; OPS,HIGH,MEDIUM,Part 4 bridge; do not fill SOA gap
P3-056,Cross-country,Local partners retained significant agency and were not simple U.S. puppets,STRONG INFERENCE,MSU/Brazil negotiation records; CIA histories; OIG cases,Motta; McCoy; Webb,"Bargaining, divergence, independent profit",U.S. leverage sometimes decisive,1955-1990,,Local governments; proxy forces,HIGH,LOW,Necessary causal balance
P3-057,Brazil,OPS itself directed torture or death-squad operations,INSUFFICIENT,No acquired operational order,Critical accounts,Aid capacity reached implicated institutions,Motta and primary record do not show command,1960-1972,,OPS; Brazilian police,HIGH,VERY HIGH,Reject operational-control wording
P3-058,Brazil,U.S. officials continued strategic relations despite documented systematic abuse,DOCUMENTED FACT,1970-1973 State records and policy history,Motta,Program drawdown and diplomatic reporting,U.S. also criticized abuses and ended OPS mission,1968-1973,William Rountree,State; AID/OPS,HIGH,LOW,Show conflict and limited consequences
P3-059,Cross-country,The drug-pipeline title works best as a multi-pipeline analytical frame,STRONG INFERENCE,Dossier synthesis,Series continuity,Training/information/political/logistics/drug intersections,Brazil commodity chain incomplete,1955-1990,,,FOUNDATIONAL,LOW,Make evidentiary break part of narrative
P3-060,Cross-country,The evidence supports 'enabled' more strongly than 'ran',STRONG INFERENCE,All primary/official findings,Investigative synthesis,"Knowledge, tolerance, access, logistics, anomalies",Direct participation and intentional U.S. system unproved,1955-1990,,CIA; AID/OPS,FOUNDATIONAL,LOW,Editorial verb choice
P3-061,Central America,"Kerry found substantial evidence that individual Contras, suppliers, pilots and supporters trafficked and used Contra supply infrastructure",YES — STRONGLY SUPPORTED,"Kerry report PDF pp. 6-8, 24, 73-74",,Committee findings; company and law-enforcement cases,Committee did not find Contra leaders personally directed trafficking,1980s,,Contras; State; CIA; DOJ,HIGH,LOW,Keep network finding distinct from leadership policy
P3-062,Central America,"State paid SETCO, DIACSA, Frigorificos and Vortex more than $806,000 in 1986 despite documented trafficking ties or investigations",DOCUMENTED FACT,Kerry report PDF pp. 27-30,,Payment and law-enforcement records,Payments do not prove paid cargo contained drugs,1986,Juan Ramón Matta Ballesteros; Luis Rodríguez; Michael Palmer,State; NHAO; Contra-support companies,HIGH,LOW,Concrete facilitation of drug-connected logistics firms
P3-063,Central America,CIA retained Alan Hyde's company for avgas delivery despite serious trafficking allegations because the service was operationally difficult to replace,YES — STRONGLY SUPPORTED,CIA OIG Vol. II PDF pp. 307-319,,"Cables, legal review, field and headquarters testimony",Allegations were unresolved and not an active investigation,1984-1989,Alan Hyde,CIA; Contra support network,HIGH,MEDIUM,Strong tolerance/exploitation case; do not state allegation as conviction
P3-064,Central America,A 1993 CIA cable discouraged a counternarcotics initiative partly because the documented CIA connection could complicate prosecution,DOCUMENTED FACT,CIA OIG Vol. II around PDF p. 318,,Internal cable,Classified-evidence and viability concerns can be legitimate; no proved stopped prosecution,1993,Alan Hyde,CIA; counternarcotics agencies,HIGH,MEDIUM,Protection/interference inference requires exact wording
P3-065,United States,"The 1982 CIA-DOJ MOU omitted narcotics from mandatory nonemployee reporting and excluded assets, agents and many independent contractors from the employee definition",DOCUMENTED FACT,Signed MOU in CIA OIG Vol. II PDF pp. 409-418,,1985 DOJ interpretation; 1995 revision,Discretionary reporting and expected cooperation remained,1982-1995,William French Smith; William Casey,CIA; DOJ,FOUNDATIONAL,LOW,Practical gap documented; protective intent unproved
P3-066,Laos,"The official Air America inquiry denied a trafficking policy but conceded possible opium carriage, incomplete cargo control and war-priority non-suppression",DOCUMENTED FACT,Foreign and Military Intelligence Book I excerpt printed pp. 228-233,McCoy,Official inquiry admissions,Inquiry gave pilots a clean bill and denied institutional knowing carriage,1960s-1972,,CIA; Air America,HIGH,LOW,Do not turn narrow denial into no-carriage/no-facilitation claim
P3-067,Laos,Multiple McCoy interview groups described Air America or allied aviation carrying opium toward Long Tieng,CORROBORATED ACCOUNT,"McCoy PDF pp. 213, 225; notes pp. 344, 346",McCoy,Villagers; local officials; soldiers; Lao generals; former USAID source,No manifests; official inquiry disputes knowing pilot role,1970-1972,Ouane Rattikone; Thao Ma; Vang Pao,Air America; CIA; USAID,HIGH,HIGH,Carriage stronger than employee knowledge or headquarters authorization
P3-068,Central America,"Operational value repeatedly affected narcotics reporting, retention and enforcement decisions",YES — STRONGLY SUPPORTED,CIA OIG Vol. II; Kerry report,,"Hyde, Bueso-Rosa, Hull, Seal and Noriega cases",Some referrals and terminations occurred; cases differ,1980s-1990s,Oliver North; Duane Clarridge; Manuel Noriega,CIA; DOJ; DEA; FBI; State,FOUNDATIONAL,MEDIUM,Best mechanism-level conclusion
P3-069,Brazil/Southern Cone,The acquired record establishes a security platform and regional trafficking overlaps but not a continuous protected Brazilian cocaine route to the United States,YES — STRONGLY SUPPORTED,Brazil records; Truth Commission; State reporting,Scott; Motta; Huggins,Security and repression architecture; regional leads,No named protected actor-to-route-to-U.S. chain,1960s-1980s,,CIA; OPS; Brazilian and Southern Cone services,HIGH,LOW,Use Brazil as controlled contrast and explicit break
P3-070,Cross-country,CIA intended to preserve covert capability despite known narcotics consequences,STRONG INFERENCE,Official Laos record; CIA OIG; Kerry report,McCoy; Scott; Webb,"Knowledge, continued relationships, operational priority and enforcement anomalies",No single command document; some enforcement and referrals occurred,1960s-1990s,,CIA; NSC; State; DOJ,FOUNDATIONAL,MEDIUM,Distinct from intent to cause U.S.-bound trafficking
