claim_id,article_id,claim_text,claim_classification,claim_type,article_section,article_excerpt,source_number,source_title,source_url,source_file,source_excerpt,support_type,source_strength,spoiler_scope,teaser_safe,review_required,notes
CLM-USAIDCIA-P01-011,USAID-CIA-P01,The committee described police assistance as preventive medicine before dissidence reached major proportions.,DOCUMENTED_FACT,QUOTATION,THE ARCHITECTURE TAKES SHAPE,"This was administrative reform, certainly. It was also strategy. The proposed academy was supposed to coordinate training with U.S. internal-defense objectives, while the police programs were to receive protection from competition with ordinary economic projects.",4,published Foreign Relations memorandum,https://history.state.gov/historicaldocuments/frus1961-63v08/d99,shared_sources/source_gap_hunt/Memorandum From the Interagency Committee on Police Assistance Programs to President Kenne.extracted.txt,"Such programs are particularly helpful as “preventive medicine”, since the police are normally responsible for coping with urban and rural dissidence before it reaches major proportions",DIRECT,PRIMARY_OR_OFFICIAL_RECORD,CURRENT_PART,NO,NO,Exact excerpt copied from local extracted source.
CLM-USAIDCIA-P01-012,USAID-CIA-P01,The committee reported that FY1958 AID police programs in 21 countries cost about $14 million.,DOCUMENTED_FACT,MONEY,THE ARCHITECTURE TAKES SHAPE,"AID would also create professional capacity that the scattered programs lacked. The committee called for better recruitment and training of American police advisers, more systematic evaluations, faster delivery of equipment and a government-managed international police academy.",4,published Foreign Relations memorandum,https://history.state.gov/historicaldocuments/frus1961-63v08/d99,shared_sources/source_gap_hunt/Memorandum From the Interagency Committee on Police Assistance Programs to President Kenne.extracted.txt,"in the peak year of FY 1958 the cost of AID programs in 21 countries, involving 690,000 police, totaled only about $14,000,000",DIRECT,PRIMARY_OR_OFFICIAL_RECORD,CURRENT_PART,NO,NO,Exact excerpt copied from local extracted source.
CLM-USAIDCIA-P01-013,USAID-CIA-P01,The committee reported that FY1958 Defense police programs cost $5.8 million in five countries.,DOCUMENTED_FACT,MONEY,THE ARCHITECTURE TAKES SHAPE,"The secretary of State would provide general policy guidance on internal-defense matters. AID's administrator, already the coordinator of American aid programs, would provide vigorous leadership across police-assistance programs. The Defense Department would retain programs selected for military handling. An interagency police group would help coordinate the system.",4,published Foreign Relations memorandum,https://history.state.gov/historicaldocuments/frus1961-63v08/d99,shared_sources/source_gap_hunt/Memorandum From the Interagency Committee on Police Assistance Programs to President Kenne.extracted.txt,"In that year, DOD programs ran $5,800,000 in 5 countries",DIRECT,PRIMARY_OR_OFFICIAL_RECORD,CURRENT_PART,NO,NO,Exact excerpt copied from local extracted source.
CLM-USAIDCIA-P01-014,USAID-CIA-P01,The committee recommended substantially increasing the global police-assistance program.,DOCUMENTED_FACT,FUNDING_ROLE,THE ARCHITECTURE TAKES SHAPE,"This was administrative reform, certainly. It was also strategy. The proposed academy was supposed to coordinate training with U.S. internal-defense objectives, while the police programs were to receive protection from competition with ordinary economic projects.",4,published Foreign Relations memorandum,https://history.state.gov/historicaldocuments/frus1961-63v08/d99,shared_sources/source_gap_hunt/Memorandum From the Interagency Committee on Police Assistance Programs to President Kenne.extracted.txt,"AID should envisage very substantial increases in the global level of the FY 1963 program, with further increases in subsequent years where there is a demonstrated need",DIRECT,PRIMARY_OR_OFFICIAL_RECORD,CURRENT_PART,NO,NO,Exact excerpt copied from local extracted source.
CLM-USAIDCIA-P01-015,USAID-CIA-P01,The committee recommended that AID coordinate and lead all police-assistance programs under State policy guidance.,DOCUMENTED_FACT,AGENCY_BOUNDARY,THE ARCHITECTURE TAKES SHAPE,"The secretary of State would provide general policy guidance on internal-defense matters. AID's administrator, already the coordinator of American aid programs, would provide vigorous leadership across police-assistance programs. The Defense Department would retain programs selected for military handling. An interagency police group would help coordinate the system.",4,published Foreign Relations memorandum,https://history.state.gov/historicaldocuments/frus1961-63v08/d99,shared_sources/source_gap_hunt/Memorandum From the Interagency Committee on Police Assistance Programs to President Kenne.extracted.txt,"subject to the general policy guidance of the Department of State in internal defense matters, the Administrator of AID be charged, in his capacity as coordinator of U.S. aid programs, with responsibility for coordination and vigorous leadership of all police assistance programs",DIRECT,PRIMARY_OR_OFFICIAL_RECORD,CURRENT_PART,NO,NO,Exact excerpt copied from local extracted source.
CLM-USAIDCIA-P01-016,USAID-CIA-P01,The committee assigned AID operating and funding responsibility except for covert aspects and selected Defense programs.,DOCUMENTED_FACT,COVERT_CARVEOUT,THE ORDER WITH THE EXCEPTION,"The third paragraph charged AID's administrator with coordination and vigorous leadership. The fourth went further: AID received operating and funding responsibility for the programs, apart from those assigned to Defense—and apart from their covert aspects.",4,published Foreign Relations memorandum,https://history.state.gov/historicaldocuments/frus1961-63v08/d99,shared_sources/source_gap_hunt/Memorandum From the Interagency Committee on Police Assistance Programs to President Kenne.extracted.txt,"That AID be charged with operating and funding responsibility for all such programs, except for their covert aspects and for those programs which the Administrator of AID decides should be carried out by the Department of Defense",DIRECT,PRIMARY_OR_OFFICIAL_RECORD,CURRENT_PART,NO,NO,Exact excerpt copied from local extracted source.
CLM-USAIDCIA-P01-017,USAID-CIA-P01,The committee recommended a dedicated AID police office.,DOCUMENTED_FACT,INSTITUTIONAL_CHANGE,WHAT THE NEW OFFICE WAS BUILT TO DO,The institutional design is easiest to see in paragraph five. AID was ordered to establish an office specifically charged with police matters.,4,published Foreign Relations memorandum,https://history.state.gov/historicaldocuments/frus1961-63v08/d99,shared_sources/source_gap_hunt/Memorandum From the Interagency Committee on Police Assistance Programs to President Kenne.extracted.txt,"That to carry out its responsibilities, AID establish an office specifically charged with police matters, staffed with sufficient qualified personnel to: (a) provide centralized professional and technical planning guidance to the country teams, police missions and State and AID regional bureaus; (b) provide professional and technical guidance and professional and technical supervision in implementing programs; (c) establish and supervise training requirements for U.S. police technicians, and standards of evaluating professional competence; (d) to conduct surveys and program evaluations; (e) to provide an essential repository of technical knowledge based on research in the latest techniques of controlling subversion and mass violence; that AID appoint a senior professional to head this office, responsible to the Special Assistant-Internal Defense with direct access to the Deputy Administrator; that while line responsibility for AID police programs remains with each regional AID bureau, sufficient professional personnel should be assigned to the new Office to provide the centralized staff support outlined above",DIRECT,PRIMARY_OR_OFFICIAL_RECORD,CURRENT_PART,NO,NO,Exact excerpt copied from local extracted source.
CLM-USAIDCIA-P01-018,USAID-CIA-P01,The proposed police office would research techniques for controlling subversion and mass violence.,DOCUMENTED_FACT,DOCUMENT_LANGUAGE,WHAT THE NEW OFFICE WAS BUILT TO DO,One duty stands out. The office was to become an essential repository of technical knowledge based on research into the latest techniques for controlling subversion and mass violence.,4,published Foreign Relations memorandum,https://history.state.gov/historicaldocuments/frus1961-63v08/d99,shared_sources/source_gap_hunt/Memorandum From the Interagency Committee on Police Assistance Programs to President Kenne.extracted.txt,provide an essential repository of technical knowledge based on research in the latest techniques of controlling subversion and mass violence,DIRECT,PRIMARY_OR_OFFICIAL_RECORD,CURRENT_PART,NO,NO,Exact excerpt copied from local extracted source.
CLM-USAIDCIA-P01-019,USAID-CIA-P01,The committee recommended an international police academy under government management.,DOCUMENTED_FACT,PROGRAM_NAME,WHAT THE NEW OFFICE WAS BUILT TO DO,"The memorandum also ordered AID to study an international police academy under government management. The academy would tighten U.S. control over training and connect it more closely to internal-defense objectives. AID was told to protect police funding, possibly through an “internal defense” budget line or military-assistance funding while leaving the program inside AID.",4,published Foreign Relations memorandum,https://history.state.gov/historicaldocuments/frus1961-63v08/d99,shared_sources/source_gap_hunt/Memorandum From the Interagency Committee on Police Assistance Programs to President Kenne.extracted.txt,early establishment of an international police academy under Government management to coordinate training more closely with U.S. internal defense objectives and tighten U.S. Government control over all training to improve its quality and insure its responsiveness to need,DIRECT,PRIMARY_OR_OFFICIAL_RECORD,CURRENT_PART,NO,NO,Exact excerpt copied from local extracted source.
CLM-USAIDCIA-P01-020,USAID-CIA-P01,The proposed academy was meant to align training more closely with U.S. internal-defense objectives.,DOCUMENTED_FACT,POLICY_OBJECTIVE,WHAT THE NEW OFFICE WAS BUILT TO DO,"The memorandum also ordered AID to study an international police academy under government management. The academy would tighten U.S. control over training and connect it more closely to internal-defense objectives. AID was told to protect police funding, possibly through an “internal defense” budget line or military-assistance funding while leaving the program inside AID.",4,published Foreign Relations memorandum,https://history.state.gov/historicaldocuments/frus1961-63v08/d99,shared_sources/source_gap_hunt/Memorandum From the Interagency Committee on Police Assistance Programs to President Kenne.extracted.txt,coordinate training more closely with U.S. internal defense objectives and tighten U.S. Government control over all training to improve its quality and insure its responsiveness to need,DIRECT,PRIMARY_OR_OFFICIAL_RECORD,CURRENT_PART,NO,NO,Exact excerpt copied from local extracted source.
CLM-USAIDCIA-P01-021,USAID-CIA-P01,The committee proposed protecting police funds from competition with economic-development projects.,DOCUMENTED_FACT,BUREAUCRATIC_BOUNDARY,WHAT THE NEW OFFICE WAS BUILT TO DO,"The memorandum also ordered AID to study an international police academy under government management. The academy would tighten U.S. control over training and connect it more closely to internal-defense objectives. AID was told to protect police funding, possibly through an “internal defense” budget line or military-assistance funding while leaving the program inside AID.",4,published Foreign Relations memorandum,https://history.state.gov/historicaldocuments/frus1961-63v08/d99,shared_sources/source_gap_hunt/Memorandum From the Interagency Committee on Police Assistance Programs to President Kenne.extracted.txt,"That, to protect police programs, with their primarily internal defense rationale, from suffering as marginal competitors with primarily economic development projects, AID and the Bureau of the Budget should develop some means of providing the necessary degree of funding autonomy, such as creating a new AID line item for “internal defense” in the FY 1964 budget or funding through the Military Assistance Program though keeping the program in AID",DIRECT,PRIMARY_OR_OFFICIAL_RECORD,CURRENT_PART,NO,NO,Exact excerpt copied from local extracted source.
CLM-USAIDCIA-P01-022,USAID-CIA-P01,One proposed funding option was an AID internal-defense budget line for FY1964.,DOCUMENTED_FACT,MONEY,WHAT THE NEW OFFICE WAS BUILT TO DO,,4,published Foreign Relations memorandum,https://history.state.gov/historicaldocuments/frus1961-63v08/d99,shared_sources/source_gap_hunt/Memorandum From the Interagency Committee on Police Assistance Programs to President Kenne.extracted.txt,creating a new AID line item for “internal defense” in the FY 1964 budget or funding through the Military Assistance Program though keeping the program in AID,DIRECT,PRIMARY_OR_OFFICIAL_RECORD,CURRENT_PART,NO,NO,Exact excerpt copied from local extracted source.
CLM-USAIDCIA-P01-023,USAID-CIA-P01,"The committee required AID to report implementation progress by December 1, 1962.",DOCUMENTED_FACT,TIMELINE,FROM PAPER TO OFFICE IN TWELVE WEEKS,"A progress report dated December 1, 1962 recorded that U.S. missions had been told to reassess police requirements under the new criteria. It then reported that, through an internal budget review, AID had virtually doubled the funds reserved for police assistance programs.",4,published Foreign Relations memorandum,https://history.state.gov/historicaldocuments/frus1961-63v08/d99,shared_sources/source_gap_hunt/Memorandum From the Interagency Committee on Police Assistance Programs to President Kenne.extracted.txt,report to you no later than 1 December 1962 on progress made; that this report include his revised FY 1963 and proposed FY 1964 program level,DIRECT,PRIMARY_OR_OFFICIAL_RECORD,CURRENT_PART,NO,NO,Exact excerpt copied from local extracted source.
CLM-USAIDCIA-P01-024,USAID-CIA-P01,"The July committee included representatives from AID, Defense, CIA, Justice, the White House and State.",DOCUMENTED_FACT,CONNECTION,THE ARCHITECTURE TAKES SHAPE,"The secretary of State would provide general policy guidance on internal-defense matters. AID's administrator, already the coordinator of American aid programs, would provide vigorous leadership across police-assistance programs. The Defense Department would retain programs selected for military handling. An interagency police group would help coordinate the system.",4,published Foreign Relations memorandum,https://history.state.gov/historicaldocuments/frus1961-63v08/d99,shared_sources/source_gap_hunt/Memorandum From the Interagency Committee on Police Assistance Programs to President Kenne.extracted.txt,"FC4 AID Member Henry Rowen DOD Member [name not declassified] CIA Member Robert Amory, Jr. BOB Member Courtney Evans Justice Member RW Komer WH Staff Member U. Alexis Johnson Chairman and State Member",DIRECT,PRIMARY_OR_OFFICIAL_RECORD,CURRENT_PART,NO,NO,Exact excerpt copied from local extracted source.
