source_id,series_part,chapter,baker_note_number,source_type,evidence_level,acquisition_priority,author_or_creator,title_or_description,publication_or_archive,date,document_identifier,archive_collection_box_folder,pages_cited,baker_claim_or_use,underlying_source_to_find,entities,citation_count,unique_claim_count,primary_document_needed,original_interview_needed,archive_request_may_be_needed,possible_online_document,needs_independent_corroboration,citation_incomplete,citation_ambiguous,reason_for_priority,raw_citation
BKR-0011,PART_1,7,7:31,PRIMARY_GOVERNMENT,A,1,,"CIA document, January 30,1968",Mary Ferrell Foundation; CIA,1968,CIA document; NARA record number 104-10310; record number,Mary Ferrell Foundation; CIA,,"Baker cites this source in chapter 7 in connection with CIA document, January 30,1968; the OCR text does not preserve a reliable body-note marker for a more precise claim mapping.",,CIA; J. Devine; MESSRS. George Bush and Thomas; Mary Ferrell Foundation; Thomas J. Devine,1,1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 7, note 31: “Memorandum: MESSRS. George Bush and Thomas J. Devine,” CIA document, January 30,1968. Available through the Mary Ferrell Foundation (NARA record number 104-10310- 10271)."
BKR-0012,PART_1,7,7:33,PRIMARY_GOVERNMENT,A,1,,nscript available through Mary Ferrell Foundation,Mary Ferrell Foundation,1963,,Mary Ferrell Foundation,,Baker cites this source in chapter 7 in connection with nscript available through Mary Ferrell Foundation; the OCR text does not preserve a reliable body-note marker for a more precise claim mapping.,,J. Edgar Hoover; Mary Ferrell Foundation; Telephone Conversation Between the President and,1,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 7, note 33: “Telephone Conversation Between the President and J. Edgar Hoover, 23 Nov 1963.” Transcript available through Mary Ferrell Foundation."
BKR-0013,PART_2,9,9:9,PRIMARY_PERSONAL_RECORD,A,1,Richard Nixon,Letter from Richard Nixon to Norman Chandler,,"December 28, 1960, Richard Nixon PresidentialLibrary, Yorba Linda, California",,,,Baker cites this source in chapter 9 in connection with Letter from Richard Nixon to Norman Chandler; the OCR text does not preserve a reliable body-note marker for a more precise claim mapping.,,California. No In In; Norman Chandler; Richard Nixon; Richard Nixon PresidentialLibrary; Yorba Linda,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 9, note 9: Letter from Richard Nixon to Norman Chandler, December 28, 1960, Richard Nixon PresidentialLibrary, Yorba Linda, California. No In In"
BKR-0014,PART_2,9,9:23,PRIMARY_PERSONAL_RECORD,A,1,William C. Liedtke Jr.,Letter from William C. Liedtke Jr. to Richard Nixon,,"July 16, 1968, Richard Nixon presidential library",,,,"Baker cites this in support of the surrounding discussion: He’s got plenty of energy. Lastly, Dick, he’s a loyal kind of guy and would support you to the hilt.”",,Richard Nixon; William C. Liedtke Jr,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 9, note 23: Letter from William C. Liedtke Jr. to Richard Nixon, July 16, 1968, Richard Nixon presidential library."
BKR-0015,PART_2,9;10,9:35;10:22;10:26;10:34;10:66,PRIMARY_INTERVIEW,A,1,Jack Gleason,Interview with Jack Gleason,,April 2008,,,,Baker cites this source in chapter 9 in connection with Interview with Jack Gleason; the OCR text does not preserve a reliable body-note marker for a more precise claim mapping. | Baker cites this source in chapter 10 in connection with Interview with Jack Gleason; the OCR text does not preserve a reliable body-note marker for a more precise claim mapping.,,Greenwich and; Jack Gleason; Nixon. One; Round Hill; Senate Watergate Committee; Townhouse Operation. Author; Watergate,5,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 9, note 35: Author interview with Jack Gleason, April 2008. || Ch. 10, note 22: Author interview with Jack Gleason, April 6, 2008. || Ch. 10, note 26: Author interview with Jack Gleason, April 21, 2008. || Ch. 10, note 34: Dean would later turn over some of those notebooks and documents to the Senate Watergate Committee as evidence against Nixon. One document that apparently was not contained in the prosecutors’ files was the letter Gleason requested assuring him of no illegalities in the Townhouse Operation. Author interview with Jack Gleason, April 6, 2008. || Ch. 10, note 66: Author interview with Jack Gleason, April 6, 2008. Round Hill is both an exclusive part of Greenwich and a golf club there."
BKR-0016,PART_2,10,10:10,PRIMARY_INTERVIEW,A,1,Donald Kendall,Interview with Donald Kendall,,"September 12, 2008",,,61,Baker cites this source in chapter 10 in connection with Interview with Donald Kendall; the OCR text does not preserve a reliable body-note marker for a more precise claim mapping.,,Donald Kendall; Jules Witcover; Richard Nixon,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 10, note 10: Jules Witcover, The Resurrection of Richard Nixon (New York: Putnam, 1970), p. 61. i. Author interview with Donald Kendall, September 12, 2008."
BKR-0017,PART_2,10,10:47,PRIMARY_INTERVIEW,A,1,Bob Woodward,Interview with Bob Woodward,,"September 5, 2008",,,,Baker cites this source in chapter 10 in connection with Interview with Bob Woodward; the OCR text does not preserve a reliable body-note marker for a more precise claim mapping.,,Admiral Thomas H. Moorer; Al Woodward; Bob Woodward; Jerry Friedheim; Melvin Laird; Robert Gettlin; Watergate,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 10, note 47: Author interview with Bob Woodward, September 5, 2008. To listen to Colodny’s tapes, go to www.watergate.com. Interview with Admiral Thomas H. Moorer, by Robert Gettlin, October 4, 1989; interview of Al Woodward, by Robert Gettlin, August 29, 1989; interview of Melvin Laird, by Robert Gettlin, September 6, 1990; interview with Jerry Friedheim, by Robert Gettlin, September 25, 1990."
BKR-0018,PART_2,10,10:78,PRIMARY_GOVERNMENT,A,1,,"Senate Watergate Committee, book six",,,,,,"Baker cites this source in chapter 10 in connection with Senate Watergate Committee, book six; the OCR text does not preserve a reliable body-note marker for a more precise claim mapping.",,Gordon Strachan; Senate Watergate Committee; Watergate,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 10, note 78: Gordon Strachan, testimony to Senate Watergate Committee, book six."
BKR-0019,PART_2,11,11:75;11:76,ORAL_HISTORY,A,1,Gerald S. Strober and Deborah Hart Strober,Nixon: An Oral History of His Presidency,"New York: HarperCollins, 1994",1994,,,528,Baker cites this source in chapter 11 in connection with Nixon: An Oral History of His Presidency; the OCR text does not preserve a reliable body-note marker for a more precise claim mapping.,,An Oral History of His Presidency; Gerald S. Strober and Deborah Hart,2,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 11, note 75: Gerald S. Strober and Deborah Hart Strober, Nixon: An Oral History of His Presidency (New York: HarperCollins, 1994), p. 528. || Ch. 11, note 76: Ibid., 519."
BKR-0020,PART_2,11,11:82,PRIMARY_GOVERNMENT,A,1,,Verbatim from a memorandum of conversation between Gerald Ford and George H.,Gerald R. Ford Presidential Library,1992,,Gerald R. Ford Presidential Library,,Baker cites this source in chapter 11 in connection with Verbatim from a memorandum of conversation between Gerald Ford and George H.; the OCR text does not preserve a reliable body-note marker for a more precise claim mapping.,,Ann Arbor; George H. W. Bush; Gerald Ford; Gerald Ford and George; Gerald R. Ford Presidential Library; H. W. Bush,1,1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 11, note 82: Verbatim from a memorandum of conversation between Gerald Ford and George H. W. Bush,declassified in 1992. Gerald R. Ford Presidential Library, Ann Arbor, Michigan."
BKR-0021,PART_2,12,12:27,PRIMARY_PERSONAL_RECORD,A,1,Richard M. Nixon,Letter from Richard M. Nixon to George Bush,,"November 12, 1975, Richard Nixon presidential library, Yorba Linda, California",,,,Baker cites this source in chapter 12 in connection with Letter from Richard M. Nixon to George Bush; the OCR text does not preserve a reliable body-note marker for a more precise claim mapping.,,George Bush; Richard M. Nixon; Richard Nixon; Yorba Linda,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 12, note 27: Letter from Richard M. Nixon to George Bush, November 12, 1975, Richard Nixon presidential library, Yorba Linda, California."
BKR-0022,PART_2,12,12:28,PRIMARY_PERSONAL_RECORD,A,1,George Bush,Letter from George Bush to Richard M. Nixon,,"December 4, 1975, Richard Nixon presidential library",,,,Baker cites this source in chapter 12 in connection with Letter from George Bush to Richard M. Nixon; the OCR text does not preserve a reliable body-note marker for a more precise claim mapping.,,George Bush; Richard M. Nixon; Richard Nixon,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 12, note 28: Letter from George Bush to Richard M. Nixon, December 4, 1975, Richard Nixon presidential library."
BKR-0023,PART_2,13,13:36,PRIMARY_LEGAL,A,1,,"cial in Trinidad and Tobago and was fined $530,000",SEC,1983,No. 83-0034,SEC,,"Baker cites this source in chapter 13 in connection with cial in Trinidad and Tobago and was fined $530,000; the OCR text does not preserve a reliable body-note marker for a more precise claim mapping.",,Annual Report of the Security and; Arabian Services Corporation; Exchange Commission; Pharaon’s Houston-based; SEC; Sam P. Wallace Company; Trinidad and Tobago and,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 13, note 36: Pharaon’s Houston-based mini-conglomerate, Arabian Services Corporation, had a majority stake in the Sam P. Wallace Company, a Dallas-based mechanical contracting concern that in 1983 pleaded guilty to paying bribes of nearly $1.4 million to a government official in Trinidad and Tobago and was fined $530,000. See : U.S. v. Sam P. Wallace Company, Inc. (Cr. No. 83-0034) (PG), D.P.R., 1983; also see the Annual Report of the Security and Exchange Commission, 1981, SEC, available at www.sec.gov/about/annual_report/1981.pdf."
BKR-0024,PART_2,13,13:BODY,PRIMARY_PERSONAL_RECORD,A,1,"Salem bin Laden / Harris County, Texas",Notarized trust agreement appointing James Bath as Salem bin Laden's U.S. business representative,,"July 8, 1976",,,,Baker cites this in support of the surrounding discussion: Baker cites the agreement for Bath's formal role representing Salem bin Laden in the United States.,,Harris County; James Bath; Salem bin Laden; Saudi Arabia,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 13, note BODY: Body-text source reconstruction: Notarized trust agreement appointing James Bath as Salem bin Laden's U.S. business representative"
BKR-0025,PART_2,14,14:4,PRIMARY_GOVERNMENT,A,1,,"Senate “Kerry” Committee report states in its introduction: Outside the documentary record provided to the Subcommittee by the CIA, there is additional material, consisting of BCCI docum",CIA,1988,CIA director William Casey and BCCI; report states; documentary; record provided,CIA,,"Baker cites this in support of the surrounding discussion: This absence of oversight could prove handy in many an instance. Another property Bath bought as front man for the Saudis was the Express Auto Park garage at Houston’s Hobby Airport, which fetched a price of $8.",,Agha Hasan Abedi; BCCI; BCCI and; BCCI and the; CIA; Outside the; United States; William Casey and BCCI’s,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 14, note 4: Casey died two years before the initial raid on BCCI, which occurred in 1988. The 1992 Senate “Kerry” Committee report states in its introduction: Outside the documentary record provided to the Subcommittee by the CIA, there is additional material, consisting of BCCI documents, testimony from BCCI officials and insiders, and extrinsic, circumstantial and historic information describing other substantial contacts between BCCI and the intelligence community. These include contacts between BCCI and: former U.S. intelligence officials, including a former head of the CIA; former and current foreign intelligence officials; and individuals engaged in covert operations on behalf of the United States government, including in the Iran/Contra affair. In addition, the Subcommittee has received allegations of meetings between former CIA director William Casey and BCCI’s head, Agha Hasan Abedi."
BKR-0026,PART_2,14,14:23,PRIMARY_LEGAL,A,1,,"Per court documents, after Salem bin Laden died in a plane crash in 1988, Mahfouz took over his airport interests.",,1988,,,,"Baker cites this source in chapter 14 in connection with Per court documents, after Salem bin Laden died in a plane crash in 1988, Mahfouz took over his airport interests.; the OCR text does not preserve a reliable body-note marker for a more precise claim mapping.",,Salem bin Laden,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 14, note 23: Per court documents, after Salem bin Laden died in a plane crash in 1988, Mahfouz took over his airport interests."
BKR-0027,PART_2,14,14:BODY,PRIMARY_PERSONAL_RECORD,A,1,James Bath,James Bath deposition concerning ownership of Skyway Aircraft Leasing Ltd.,,Not specified,,,,Baker cites this in support of the surrounding discussion: Baker cites the deposition for the claim that Salem bin Laden was the real owner of the Bath-directed Cayman Islands company.,,Cayman Islands; Central Intelligence Agency; James Bath; Salem bin Laden; Skyway Aircraft Leasing Ltd.,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 14, note BODY: Body-text source reconstruction: James Bath deposition concerning ownership of Skyway Aircraft Leasing Ltd."
BKR-0028,PART_2;PART_3,15,15:24,PRIMARY_INTERVIEW,A,1,Marion Gilliam,Interview with Marion Gilliam,Time,"May 18, 2007",mid-1600s,,,"Baker cites this in support of the surrounding discussion: The funding was arranged through Marion Gilliam, a pedigreed New York investment banker. In a telephone interview, Gilliam told me he vaguely recalled being approached by Klausmeyer to get involved with Lucky Chance. “It may very well have been that he once came on a totally unrelated matter, he mentioned that he had a client or a person interested in gold mining, and asked, did we have any people interested in investing in mining?”",,Kentucky Mortons; Kim Philby; Marie-Antoinette Ladd; Marion Gilliam; Morton Sr; Poppy Bush; Prescott Bush; Prescott Bush and Richard Nixon. His; Queen Elizabeth and; RNC; Richard Nixon; Rogers C. B. Morton; Senator Thruston B. Morton; Skull and Bones; Soviet Union. His; Thruston Jr; William C. Ladd,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 15, note 24: Author interview with Marion Gilliam, May 18, 2007. Gilliam was well connected to the British royal family. His mother-in-law, Marie-Antoinette Ladd, had been tutor to Queen Elizabeth and her sister when they were young, and her son had become the queen’s art curator. Gilliam’s father-in-law, William C. Ladd, had been a major figure in the intelligence community—and had for a time been the principal American contact with the British intelligence official Kim Philby, who would later and sensationally be unmasked as a double agent when he defected to the Soviet Union. His family’s history in America went back to the mid-1600s; they were good friends of the Kentucky Mortons—Senator Thruston B. Morton, Yale ’29 (whose son Thruston Jr. is Skull and Bones 54). Morton Sr. was chairman of the RNC from 1959 to ’61 and close to both Prescott Bush and Richard Nixon. His brother, Mary land representative Rogers C. B. Morton (Yale, RNC chairman under Nixon from 1969 to °71, and secretary of the interior and commerce), was close with Poppy Bush."
BKR-0029,PART_2;PART_3,16,16:6,PRIMARY_CORPORATE,A,1,,"SEC filing “Nar Group Ltd, et al",SEC,"January 30, 1995",,SEC,,"Baker cites this source in chapter 16 in connection with SEC filing “Nar Group Ltd, et al; the OCR text does not preserve a reliable body-note marker for a more precise claim mapping.",,Harken Energy; Harken Energy Corp; Nar Group Ltd; SEC,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 16, note 6: According to the SEC filing “Nar Group Ltd, et al. » SC 13D/A * Harken Energy Corp,” SECFile 5-31404, January 30, 1995. Available online at www.secinfo.com/dsvr4.a44.c.htm."
BKR-0030,PART_2;PART_3,16,16:50,PRIMARY_CORPORATE,A,1,,"SEC filing “Axp Selected Series Inc N-30D,” SEC File 811-04132, March",SEC,,File 811-04132,SEC,,"Baker cites this source in chapter 16 in connection with SEC filing “Axp Selected Series Inc N-30D,” SEC File 811-04132, March; the OCR text does not preserve a reliable body-note marker for a more precise claim mapping.",,Axp Selected Series Inc N-; SEC; SEC File,1,1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 16, note 50: According to SEC filing “Axp Selected Series Inc N-30D,” SEC File 811-04132, March"
BKR-0031,PART_3,20,20:BODY,PRIMARY_GOVERNMENT,A,1,Texas Air National Guard / Texas Adjutant General,Texas Air National Guard personnel records for George W. Bush and Daniel O. Shelley,,1998,,,,Baker cites this in support of the surrounding discussion: Baker uses the personnel-record transfer to discuss handling and possible alteration or removal of Guard records.,,Daniel O. Shelley; George W. Bush; Texas Air National Guard; Texas Governor's Office,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 20, note BODY: Body-text source reconstruction: Texas Air National Guard personnel records for George W. Bush and Daniel O. Shelley"
BKR-0032,PART_3,21,21:33,PRIMARY_PERSONAL_RECORD,A,1,,cial exemption to the Nuclear Nonproliferation Treaty,,1998,,,,Baker cites this source in chapter 21 in connection with cial exemption to the Nuclear Nonproliferation Treaty; the OCR text does not preserve a reliable body-note marker for a more precise claim mapping.,,Bangladesh and; Bombay Stock Exchange and; Bombay. President George W. Bush; Brown and Root; Dick Cheney; Dick Cheney-run Halliburton; Gammell’s Cairn Energy; George W. Bush; Gulf of Cambay; India and; India and Bangladesh; New Zealand Herald; Nuclear Nonproliferation Treaty. By; Oil and Natural Gas Corporation. But; Paran Balakrishnan; Proving the Critics Wrong,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 21, note 33: In 1998, Gammell’s Cairn Energy, together with Brown and Root (then part of the Dick Cheney-run Halliburton), signed a deal to build a gas pipeline from Burma to the Indian state of Orissa with the Indian government’s Oil and Natural Gas Corporation. But when India exploded its first nuclear bomb the following month, the Clinton administration imposed sanctions, which nixed the deal (and the enormous income promised by Halliburton to the brutal Burmese military regime). Still, Cairn persevered, despite conventional wisdom about India’s lack of oil. A report in the New Zealand Herald (Paran Balakrishnan, “Proving the Critics Wrong,” July 17, 2007) highlighted the improbability of Cairn’s making a profit: “Ask any oilman and he will probably tell you that India is rated fairly low in the oil industry.” In 1999, Cairn ended up striking oil off the west coast of India in the Gulf of Cambay—a lucrative addition to the company’s already sizable natural gas interests in Bangladesh and oil wells on the Indian mainland. Enron began expanding its operations to India and was already running a privatized electrical-distribution system in Bombay. President George W. Bush took a different tack to India than Clinton, granting it a special exemption to the Nuclear Nonproliferation Treaty. By 2006, Cairn was so focused on India that Gammell became chairman of the firm’s Indian subsidiary, which was listed on the Mumbai/Bombay Stock Exchange and made $1.4 billion on the market. Now, Cairn has almost 90 percent of its assets in India and Bangladesh."
BKR-0033,PART_3,21,21:BODY,PRIMARY_GOVERNMENT,A,1,National Energy Policy Development Group / Executive Office of the President,Cheney Energy Task Force maps of Iraqi oil fields and lists of potential oil-company interests,,March 2001,,,,Baker cites this in support of the surrounding discussion: Baker cites documents obtained in Judicial Watch litigation to discuss pre-invasion attention to Iraqi oil fields and contracts.,,Dick Cheney; Iraq; Judicial Watch; National Energy Policy Development Group; oil companies,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 21, note BODY: Body-text source reconstruction: Cheney Energy Task Force maps of Iraqi oil fields and lists of potential oil-company interests"
