source_number,source_type,title,date,agency_author,url_or_local_path,page,relevant_entity,relevant_claim,quote_or_summary,evidence_grade,notes
DS-011,congressional testimony,"McCoy testimony before Senator Proxmire's committee",1972-06-02,Alfred W. McCoy,https://www.cia.gov/readingroom/docs/CIA-RDP74B00415R000400050035-1.pdf,pp.2-3,"Michel Theodas; Sopsaisana; Corsicans","McCoy named Theodas as the alleged arranger of Sopsaisana's French connection","McCoy attributed the claim to BNDD and diplomatic sources",B/E,"Underlying BNDD record not acquired"
DS-012,contemporary journalism,"Search and Destroy—The War on Drugs",1972,Time,https://time.com/archive/6844242/narcotics-search-and-destroy-the-war-on-drugs/,Sopsaisana passage,"Prince Sopsaisana","Contemporary reporting corroborates an Orly heroin seizure and refusal of credentials","A valise contained about 123 pounds of heroin",D,"Does not establish supplier recipient or onward route"
DS-013,book/investigative secondary,"Sopsaisana affair",1972,Alfred W. McCoy,"series_projects/usaid-office-of-public-safety/articles/part-03-the-laboratory-countries/sources/52_Alfred_McCoy___The_politics_of_heroin_in_Southeast_Asia.pdf","PDF pp. 278-281","Sopsaisana; Vang Pao; Theodas","McCoy's diplomatic and BNDD sources alleged a Long Tieng origin and Corsican destination","Sopsaisana denied ownership and claimed a frame-up",E/F,"Bulk seizure stronger than alleged upstream chain"
DS-014,official diplomatic record,"Fiscal Year 1976 Program Guidance Airgram A-102",1974-08-28,U.S. Embassy Vientiane,https://foia.state.gov/DOCUMENTS/FOIA_Micro_Oct2024_10/F-1989-03959/DOC_0C09000035/C09000035.pdf,"printed pp. 2-4","NCAP; USAID; Lao agencies","Program was deliberately limited and scaled down from about 30 U.S. personnel to 10","Program peaked near $2 million in 1973 and trained 711 Lao enforcement/judicial personnel",A,"Strong program-scale record"
DS-015,official diplomatic record,"Royal Lao Military Police narcotics program",1974-08-28,U.S. Embassy Vientiane,https://foia.state.gov/DOCUMENTS/FOIA_Micro_Oct2024_10/F-1989-03959/DOC_0C09000035/C09000035.pdf,printed p.16,"Royal Lao Military Police; USAID","163 military police had initial training and seven had U.S. narcotics training","Objective addressed RLA-official trafficking and military transportation; checkpoints were planned",A,"Seven officers remain unidentified"
DS-016,official diplomatic record,"GSI and DEA transition",1974-08-28,U.S. Embassy Vientiane,https://foia.state.gov/DOCUMENTS/FOIA_Micro_Oct2024_10/F-1989-03959/DOC_0C09000035/C09000035.pdf,"printed pp. 15-17","GSI; LNP; Military Police; DEA","OPS assistance was scheduled to end and DEA to assume narcotics advising","GSI combined personnel detailed from police military police and Customs",A,"Shows functional handoff not institutional identity"
DS-017,official publication,"Police Academy Review vol. 9 no. 1",1975-01,Office of Public Safety/IPA,https://ojp.gov/pdffiles1/Digitization/19349NCJRS.pdf,"PDF p.10 / printed p.17","PMNO No. 8; IPA","PMNO No. 8 had 27 classmates from nine countries including Laos and Thailand","IPA reported 5204 graduates from 77 countries",A,"No full student roster in issue"
DS-018,official report,"Federal Law Enforcement and Criminal Justice Activities FY1971",1972,Department of Justice,https://ojp.gov/pdffiles1/Digitization/9474NCJRS.pdf,"PDF p.156 / printed pp.280-281","OPS; IPA; BNDD; Customs","OPS built whole-force narcotics capacity and IPA alumni served as DOJ contacts","3932 graduates from 73 countries; 13 national agencies commanded by graduates",A,"Agencies and chiefs not named"
DS-019,official annual report,"Annual Report of the Secretary of the Treasury FY1966",1966,Treasury/FBN,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1966.pdf,"PDF p.175 / printed p.143","FBN; IPA; AID","FBN taught a two-week Spanish-language narcotics course for 19 Latin American officers","Covered cocaine heroin and marijuana",A,"First of three consecutive annual reports"
DS-020,official annual report,"Annual Report of the Secretary of the Treasury FY1967",1967,Treasury/FBN,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1967.pdf,"PDF p.151 / printed p.121","FBN; IPA; AID","FBN continued two-week narcotics-control instruction with IPA/AID","Documents institutional continuity",A,"Do not transfer 1966 cohort count"
DS-021,official annual report,"Annual Report of the Secretary of the Treasury FY1968",1968,Treasury/FBN,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1968.pdf,"PDF p.149 / printed p.121","FBN; IPA; AID","Bilingual FBN agents again taught narcotics control at IPA","Third consecutive official report",A,"Aggregate institutional evidence"
DS-022,CIA memorandum,"Project TWO-FOLD",1973-05-25,CIA Office of Security,https://www.cia.gov/readingroom/docs/DOC_0001451843.pdf,"Family Jewels PDF pp.56-57","CIA; BNDD","CIA spotted assessed and recruited BNDD internal-security personnel and covert staff agents","Recruits became BNDD employees and were unaware of CIA administrative involvement",A,"Strongest proof of CIA access inside narcotics enforcement"
DS-023,CIA memorandum,"Origins of CIA assistance to BNDD",1970-12 to 1971-02,CIA/BNDD,"series_projects/usaid-office-of-public-safety/shared_sources/Family_jewels_of_the_Central_Intelligence_Agency.pdf",Family Jewels PDF p.62,"Robert Ingersoll; Richard Helms","Ingersoll sought CIA help because he believed old FBN corruption was tied to smuggling interests","DCI approved covert recruitment assistance",A,"Does not identify corrupt individuals"
DS-024,CIA decision memorandum,"Narrowing Project TWO-FOLD",1973-05,CIA/William Colby,"series_projects/usaid-office-of-public-safety/shared_sources/Family_jewels_of_the_Central_Intelligence_Agency.pdf",Family Jewels PDF p.57,"CIA; BNDD","Domestic internal-corruption support was terminated while foreign narcotics-intelligence staffing continued","Foreign branch was directed against international traffickers",A,"Subsequent operations and countries not located"
DS-025,intelligence record,"Larger CIA Role in International Narcotics Matters",1971-12-13,Central Intelligence Agency,https://www.cia.gov/readingroom/document/cia-rdp74b00681r000200010005-5,pp.1-3,"CIA; CCINC","CIA was pressed to lead expanded collection on international trafficking systems","CIA coordinated the CCINC Intelligence Subcommittee",A,"Evidence of collection role not enforcement command"
DS-026,book/investigative secondary,"Tachilek refinery ownership",1972,Alfred W. McCoy,"series_projects/usaid-office-of-public-safety/articles/part-03-the-laboratory-countries/sources/52_Alfred_McCoy___The_politics_of_heroin_in_Southeast_Asia.pdf","PDF pp.270-271","Law Sik Han; Yang Sun; KKY","Private KKY/Shan militia refineries operated around Tachilek","Law Sik Han and other militia actors had refinery routes; CIA estimated fourteen area labs",E,"Supports competitive-effect inference only"
DS-027,official diplomatic record,"CIF proposal against Tachilek refineries",1971-09-29,CIA Far East Division/FRUS,https://history.state.gov/historicaldocuments/frus1969-76v20/d136,document 136,"Li Wen-huan; Tuan Hsi-wen; CIF","U.S. officials considered covertly using opium-financed CIF forces against heroin refineries","American role was to remain concealed",A,"Document does not identify refinery owners or commercial motive"
DS-028,statute,"Foreign Assistance Act of 1974 Public Law 93-559",1974-12-30,U.S. Congress,https://www.govinfo.gov/content/pkg/STATUTE-88/pdf/STATUTE-88-Pg1795.pdf,"88 Stat. 1803-1804","Section 660; DEA; FBI","Broad police-assistance ban took effect July 1 1975 with narcotics and specified DEA/FBI exceptions","International narcotics exception existed at enactment",A,"Enactment and effective date differ"
DS-029,official audit,"Stopping U.S. Assistance to Foreign Police and Prisons",1976-02-19,Government Accountability Office,https://www.gao.gov/products/id-76-5,"GAO ID-76-5 chs.2-3","AID; OPS; Section 660","The 1973 act had already triggered phaseout of 17 programs and 95 advisers","GAO found general compliance and growing narcotics aid",A,"Official implementation review"
DS-030,statute,"International Security and Development Cooperation Act of 1985 Public Law 99-83",1985-08-08,U.S. Congress,https://www.govinfo.gov/content/pkg/STATUTE-99/pdf/STATUTE-99-Pg190.pdf,"99 Stat. 244","Section 660; Administration of Justice","Later law added judicial investigative and country exceptions","Later exceptions must not be projected backward",A,"Relevant only to chronology"
